,ID-ORDER,datetime,Q1a_lang1,Q2-1_Meetings_Freq,Q2-1_Meetings_Import,Q2-1_Meetings_Eng,Q2-1_Meetings_LES, Q2-2_PreparedStats_Freq,Q2-2_PreparedStats_Import,Q2-2_PreparedStats_Eng,Q2-2_PreparedStats_LES,Q2-3_PublicInter_Freq,Q2-3_PublicInter_Import,Q2-3_PublicInter_Eng,Q2-3_PublicInter_LES,Q2-4_SocialConv_Freq,Q2-4_SocialCon_Import,Q2-4_SocialCon_Eng,Q2-4_SocialCon_LES,Q2-5_CommPhone_Freq,Q2-5_CommPhone_Import,Q2-5_CommPhone_Eng,Q2-5_CommPhone_LES,Q2-6_ElicitGather_Freq,Q2-6_ElicitGather_Import,Q2-6_ElicitGather_Eng,Q2-6_ElicitGather_LES,Q2-7_SocialMedia_Freq,Q2-7_SocialMedia_Import,Q2-7_SocialMedia_Eng,Q2-7_SocialMedia_LES,Q2-8_EmailText_Freq,Q2-8_EmailText_Import,Q2-8_EmailText_Eng,Q2-8_EmailText_LES,Q2-9_MonitPubSpoken_Freq,Q2-9_MonitPubSpoken_Import,Q2-9_MonitPubSpoken_Eng,Q2-9_MonitPubSpoken_LES,Q2-10_MonitBroadcast_Freq,Q2-10_MonitBroadcast_Import,Q2-10_MonitBroadcast_Eng,Q2-10_MonitBroadcast_LES,Q2-11_GiveInstruct_Freq,Q2-11_GiveInstruct_Import,Q2-11_GiveInstruct_Eng,Q2-11_GiveInstruct_LES,Q2-12_MakeRequest_Freq,Q2-12_MakeRequest_Import,Q2-12_MakeRequest_Eng,Q2-12_MakeRequest_LES,Q2-13_Negotiate_Freq,Q2-13_Negotiate_Import,Q2-13_Negotiate_Eng,Q2-13_Negotiate_LES,Q2-14_Services_Freq,Q2-14_Services_Import,Q2-14_Services_Eng,Q2-14_Services_LES,Q2-15_SchedOrganize_Freq,Q2-15_SchedOrganize_Import,Q2-15_SchedOrganize_Eng,Q2-15_SchedOrganize_LES,Q2-16_Travel_Freq,Q2-16_Travel_Import,Q2-16_Travel_Eng,Q2-16_Travel_LES,Q2-17_WriteCorresp_Freq,Q2-17_WriteCorresp_Import,Q2-17_WriteCorresp_Eng,Q2-17_WriteCorresp_LES,Q2-18_SpeakExtempor_Freq,Q2-18_SpeakExtempor_Import,Q2-18_SpeakExtempor_Eng,Q2-18_SpeakExtempor_LES,Q2-19_ReadJobDocs_Freq,Q2-19_ReadJobDocs_Import,Q2-19_ReadJobDocs_Eng,Q2-19_ReadJobDocs_LES,Q2-20_Translate_Freq,Q2-20_Translate_Import,Q2-20_Translate_Eng,Q2-20_Translate_LES,Q2-21_Interpret_Freq,Q2-21_Interpret_Import,Q2-21_Interpret_Eng,Q2-21_Interpret_LES,Q2-22_MonitSpokenAccu_Freq,Q2-22_MonitSpokenAccu_Import,Q2-22_MonitSpokenAccu_Eng,Q2-22_MonitSpokenAccu_LES,Q2-23_ReviewEdit_Freq,Q2-23_ReviewEdit_Import,Q2-23_ReviewEdit_Eng,Q2-23_ReviewEdit_LES,Q2-24_Shop_Freq,Q2-24_Shop_Import,Q2-24_Shop_Eng,Q2-24_Shop_LES,Q2-25_OrderFood_Freq,Q2-25_OrderFood_Import,Q2-25_OrderFood_Eng,Q2-25_OrderFood_LES,Q2-26_Children_Freq,Q2-26_Children_Import,Q2-26_Children_Eng,Q2-26_Children_LES,Q2-27_Leisure_Freq,Q2-27_Leisure_Import,Q2-27_Leisure_Eng,Q2-27_Leisure_LES,Comments_Ratings,Translation_aids,Add_tasks,PostnRelabel,Bureau,Org Name,Country,Emp Grade,EmpGradeRank,Lang Cd,Emp Speak Proficiency 1,Speak Proficiency Plus,Emp Read Proficiency 1,Read Proficiency Plus,Postn Lang 1 Sp/Rd,Postn Lang 1 Sp,Postn Lang 1 Rd
10,NA00021,2017-09-01 16:19:00,Spanish,Weekly,Very important,,,Every few months,Important,,,Every few months,Important,,,Daily,Very important,,,Weekly,Very important,,,Weekly,Important,,,Every few months,Not important,,,Monthly,Very important,,yes,Every few months,Slightly important,,,Never - not applicable,,,,Daily,Very important,yes,,Weekly,Very important,,,Monthly,Very important,,yes,Never - not applicable,,,,Never - not applicable,,,,Weekly,Very important,,,Weekly,Important,yes,,Monthly,Important,yes,,Weekly,Important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Important,,,Weekly,Important,,,Weekly,Very important,,,Weekly,Very important,,,,Reading articles at the end of the day when I'm tired.,,Social Media,WHA,MEXICO -CITY D.F.,MEXICO,01,SENIOR,QB,3.0,,3.0,,QB,3,3
11,NA00022,2017-09-01 14:15:00,Spanish,Never - not applicable,,,,Every few months,,,,Every few months,,,,Daily,,,,Weekly,,,,Daily,,,,Weekly,,,,Daily,,,,Never - not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Service,WHA,GUAYAQUIL,ECUADOR,04,ENTRY,QB,3.0,0.5,3.0,0.5,QB,3,3
12,NA00023,2017-09-01 12:22:00,French,Monthly,Very important,,,Monthly,Very important,,,Weekly,Very important,,,Daily,Important,,,Weekly,Important,,,Monthly,Very important,,,Monthly,Slightly important,,,Weekly,Important,,,Weekly,Important,,,Daily,Important,,,Daily,Very important,,,Daily,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Important,,,Never - not applicable,,,,Monthly,Important,,,Daily,Very important,,,Every few months,Slightly important,,,Every few months,Important,,,Monthly,Slightly important,,,Weekly,Important,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,,,,Floater,EUR,PARIS,FRANCE,03,MID,FR,3.0,,3.0,0.5,FR,3,3
13,NA00024,2017-09-01 11:21:00,Czech,Monthly,Very important,,yes,Every few months,Slightly important,,,Never - not applicable,,,,Daily,Slightly important,,,Daily,Important,,,Daily,Very important,,,Never - not applicable,,,,Weekly,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Very important,yes,,Daily,Very important,yes,,Every few months,Very important,,yes,Never - not applicable,,,,Monthly,Important,yes,,Every few months,Very important,,yes,Weekly,Very important,,,Never - not applicable,,,,Daily,Very important,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Never - not applicable,,,,Daily,Important,,,Weekly,Important,,,Monthly,Important,,,Weekly,Slightly important,,,,,,Customer Service,EUR,PRAGUE,CZECH REPUBLIC,03,MID,CX,3.0,,4.0,,CX,3,3
14,NA00025,2017-09-01 11:20:00,Romanian,Daily,Important,yes,,Every few months,Important,yes,,Never - not applicable,,,,Daily,Very important,yes,,Daily,Very important,yes,,,,,,Monthly,Slightly important,no,,Daily,Very important,yes,,Weekly,Important,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Floater,EUR,BUCHAREST,ROMANIA,04,ENTRY,RQ,3.0,,3.0,0.5,RQ,3,3
15,NA00026,2017-09-01 10:26:00,Russian,Weekly,Very important,,yes,Never - not applicable,Not applicable,,,Monthly,Important,yes,,Daily,Important,yes,,Monthly,Very important,,,Weekly,Very important,,yes,Never - not applicable,Not applicable,,,Weekly,Very important,,yes,Never - not applicable,Not applicable,,,Never - Can't do in the language,Slightly important,,,Daily,Very important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Very important,,yes,Daily,Very important,,yes,Never - Can't do in the language,Not important,yes,,Daily,Very important,,yes,Daily,Very important,,yes,Every few months,Very important,,yes,Every few months,Important,,yes,Never - Can't do in the language,Very important,,yes,Weekly,Important,,,Monthly,Not important,,,Never - not applicable,Not applicable,,,Weekly,Important,yes,,,,,Customer Service,EUR,MOSCOW,RUSSIA,02,MID,RU,2.0,,2.0,,RU,3,3
16,NA00027,2017-09-01 09:45:00,Spanish,Never - not applicable,Not applicable,,,Every few months,Slightly important,,,Every few months,Slightly important,,,Daily,Important,yes,,Never - not applicable,Not applicable,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Every few months,Not important,yes,,Daily,Important,yes,,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Slightly important,yes,,Daily,Not important,,,Monthly,Important,yes,,Never - not applicable,Not applicable,,,Daily,Important,yes,,Monthly,Important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Weekly,Important,,,Weekly,Important,,,Monthly,Important,,,Weekly,Important,yes,,,I occassionally use online dictionaries to translate wrods during interviews with visa applicants.,,Customer Service,WHA,CIUDAD JUAREZ,MEXICO,04,ENTRY,QB,3.0,0.5,4.0,,QB,3,3
17,NA00028,2017-09-01 09:15:00,French,Weekly,Very important,yes,yes,Monthly,Important,yes,yes,Every few months,Slightly important,yes,yes,Weekly,Important,yes,yes,Never - not applicable,Not applicable,,,Every few months,Important,yes,yes,Daily,Important,yes,yes,Daily,Important,yes,yes,Daily,Slightly important,yes,yes,Daily,Important,yes,yes,Daily,Very important,yes,yes,Weekly,Important,yes,yes,Monthly,Very important,yes,yes,Weekly,Important,yes,yes,Monthly,Important,yes,yes,Weekly,Slightly important,yes,yes,Weekly,Very important,yes,yes,Monthly,Slightly important,yes,yes,Weekly,Important,yes,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Weekly,Important,yes,yes,Weekly,Slightly important,yes,no,Weekly,Slightly important,,,Monthly,Slightly important,,,Weekly,Important,,,"For official high-level meetings in French, I rely on local staff to translate and provide accurate details of our needs.  I use my French to monitor their work when possible.  Outside of work I use French more commonly as very little English is spoken here.",None.,,Security,NEA,ALGIERS,ALGERIA,02,MID,FR,3.0,,3.0,,FR,3,3
18,NA00029,2017-09-01 09:06:00,Norwegian,Daily,Very important,,,Every few months,Important,,yes,Monthly,Important,,,Weekly,Important,,,Monthly,Important,,,Daily,Very important,,,Daily,Very important,,,Monthly,Slightly important,,,Monthly,Important,,,Daily,Very important,,,Never - not applicable,Not important,yes,,Never - not applicable,Not important,,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Monthly,Important,,,Every few months,Important,,,Never - not applicable,Not applicable,,,Monthly,Important,,,Daily,Very important,,,Never - not applicable,Not important,,yes,Daily,Very important,,,Daily,Very important,,,Never - not applicable,Not applicable,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,,,,,"As a consular officer, I conduct all visa interviews in Norwegian unless the applicant only speaks English.",Customer Service,EUR,OSLO,NORWAY,04,ENTRY,NR,3.0,,3.0,,NR,3,3
19,NA00030,2017-09-01 08:30:00,Greek,Daily,Very important,,yes,Every few months,Important,yes,,Every few months,Important,yes,,Daily,Very important,,,Daily,Very important,,,Daily,Very important,yes,yes,Monthly,Slightly important,,yes,Weekly,Important,yes,,Daily,Important,yes,,Daily,Very important,,yes,Daily,Very important,yes,yes,Daily,Very important,yes,yes,Daily,Very important,yes,,Never - not applicable,,,,Never - not applicable,,,,Weekly,Slightly important,,,Daily,Very important,yes,,Daily,Very important,yes,,Weekly,Very important,yes,,Every few months,Important,,yes,Every few months,Slightly important,no,yes,Weekly,Slightly important,,yes,Daily,Very important,,,Daily,Very important,,,Weekly,Important,,,Weekly,Important,,,,,,,,,,Operations,EUR,NICOSIA,CYPRUS,02,MID,GR,3.0,0.5,3.0,0.5,GR,3,3
20,NA00031,2017-09-01 08:11:00,Spanish,Every few months,Important,yes,yes,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Slightly important,yes,,Weekly,Important,,,Every few months,Important,yes,yes,Never - not applicable,Not applicable,,,Daily,Important,yes,,Never - not applicable,Not applicable,,,Daily,Slightly important,yes,,Daily,Important,yes,,Daily,Important,yes,,Never - not applicable,Not applicable,,,Daily,Important,yes,,Weekly,Important,yes,,Daily,Important,,,Daily,Important,yes,,Every few months,Slightly important,yes,yes,Daily,Very important,yes,,Never - not applicable,Not applicable,,,Never - not applicable,Not applicable,,,Daily,Very important,yes,yes,Daily,Very important,yes,yes,Daily,Very important,,,Weekly,Very important,,,Weekly,Very important,,,Daily,Very important,no,,,Google Translate.  Still puzzled why this app is specifically forbidden on official devices.,,Manager,EUR,MADRID,SPAIN,02,MID,QB,2.0,,2.0,,QB,2,2
21,NA00032,2017-09-01 08:05:00,Turkish,Weekly,Important,,,Every few months,Important,yes,,Every few months,Slightly important,,yes,Every few months,Slightly important,,,Every few months,Slightly important,yes,,Daily,Very important,,,Every few months,Slightly important,,yes,Daily,Slightly important,yes,,Every few months,Not important,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Service,EUR,ISTANBUL,TURKEY,01,SENIOR,TU,3.0,,3.0,,TU,3,3
22,NA00033,2017-09-01 08:04:00,Polish,Monthly,Important,no,no,Every few months,Slightly important,,,Every few months,Slightly important,,,Daily,Important,,,Weekly,Very important,,,Daily,Very important,,,Weekly,Slightly important,,,Monthly,,,,Daily,Very important,,,Weekly,Slightly important,,,Daily,Important,,,Daily,Important,,,Never - Can't do in the language,Slightly important,,,Monthly,Important,,,Weekly,Very important,,,Monthly,Not important,,,Weekly,Slightly important,,,Daily,Very important,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Customer Service,EUR,WARSAW,POLAND,02,MID,PL,3.0,,3.0,,PL,3,3
23,NA00034,2017-09-01 07:46:00,Polish,Weekly,Important,,yes,Monthly,Very important,,,Daily,Very important,,,Daily,Very important,,,Weekly,Important,yes,,Weekly,Important,,,Never - not applicable,,,,Weekly,Important,yes,,Weekly,Very important,no,yes,Daily,Very important,,,Daily,Important,yes,,Daily,Important,yes,,Every few months,Slightly important,,,Never - not applicable,,,,Every few months,Slightly important,,,Monthly,Very important,,,Weekly,,yes,,Weekly,Important,,,Weekly,Important,,,Daily,Very important,,,Every few months,Slightly important,,yes,Weekly,Important,,,Daily,Very important,yes,,Weekly,Not important,,,Daily,Not important,,,Every few months,Slightly important,,,Daily,Not important,,,"on the last few ratings I put not important as in not important to my effextiveness at work, but of course very important for my fulfillment and overall well-being.  ",occasionally press quick translates and then edit,,Operations,EUR,WARSAW,POLAND,03,MID,PL,3.0,0.5,3.0,0.5,PL,3,3
